"Nr cytatu";Treść;Tłumaczenie;Autor;"Data dodania";Polubienia;"Kategoria 1";"Kategoria 2";"Kategoria 3"
25;"Być wolnym to móc nie kłamać. ";;"Albert Camus";"2020-08-28 09:21:23";0;PSYCHOLOGIA;;
26;"Najcenniejszych rzeczy w życiu nie nabywa się za pieniądze";;"Albert Einstein";"2020-08-28 09:21:35";2;FILOZOFIA;;
27;"Szaleństwem jest robić wciąż to samo i oczekiwać różnych rezultatów";;"Albert Einstein";"2020-08-28 09:21:51";0;PSYCHOLOGIA;;
28;"Wyobraźnia bez wiedzy może stworzyć rzeczy piękne. Wiedza bez wyobraźni najwyżej doskonałe. ";;"Albert Einstein";"2020-08-28 09:22:14";2;PSYCHOLOGIA;;
29;"Jeśli nie potrafisz wyjaśnić czegoś prosto, nie rozumiesz tego wystarczająco dobrze. ";;"Albert Einstein";"2020-08-28 09:22:31";2;PSYCHOLOGIA;;
30;"Są dwie drogi, aby przeżyć życie. Jedna to żyć tak, jakby nic nie było cudem. Druga to żyć tak, jakby cudem było wszystko. ";;"Albert Einstein";"2020-08-28 09:22:44";1;FILOZOFIA;;
31;"Przyjaźń z całym światem zaczyna się od przyjaźni z najbliższym otoczeniem. ";;"Aldona Różanek";"2020-08-28 09:23:02";1;PSYCHOLOGIA;;
32;"[...] albowiem niepewność jest najstraszliwszą ze wszystkich tortur. ";;"Aleksander Dumas";"2020-08-28 09:23:23";1;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
32;"[...] albowiem niepewność jest najstraszliwszą ze wszystkich tortur. ";;"Aleksander Dumas";"2020-08-28 09:23:23";1;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
32;"[...] albowiem niepewność jest najstraszliwszą ze wszystkich tortur. ";;"Aleksander Dumas";"2020-08-28 09:23:23";1;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
33;"[...] zła najczęściej nie da się naprawić; możemy je tylko pomścić. ";;"Aleksander Dumas";"2020-08-28 09:23:37";1;FILOZOFIA;;
34;"Przyjaciół kochamy dla ich wad, bo lubimy, gdy ktoś też ma wady. ";;"Aleksander Fredro";"2020-08-28 09:23:54";0;PSYCHOLOGIA;;
35;"Czasami uważamy kogoś za przyjaciela i okazuje się, że to jednak prawda";;"Alice Munro";"2020-08-28 09:24:10";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
35;"Czasami uważamy kogoś za przyjaciela i okazuje się, że to jednak prawda";;"Alice Munro";"2020-08-28 09:24:10";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
35;"Czasami uważamy kogoś za przyjaciela i okazuje się, że to jednak prawda";;"Alice Munro";"2020-08-28 09:24:10";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
36;"Wszyscy jesteśmy pomyleni, ale tego, kto umie analizować swoje urojenia, nazywa się filozofem. ";;"Ambrose Bierce";"2020-08-28 09:24:27";0;PSYCHOLOGIA;;
37;"Lepiej zaliczać się do niektórych niż do wszystkich. ";;"Andrzej Sapkowski";"2020-08-28 09:24:46";1;PSYCHOLOGIA;;
38;"To nic złego być tym, kim jesteś i być tego świadomym, ponieważ sama świadomość jest szczęściem. ";;"Anthony de Mello";"2020-08-28 09:25:05";0;FILOZOFIA;;
39;"Sposobem na podejmowanie lepszych decyzji jest podejmowanie ich częściej";;"Anthony Robbins";"2020-08-28 09:25:21";0;FILOZOFIA;;
40;"Prawdziwa miłość nie wyczerpuje się nigdy. Im więcej dajesz, tym więcej ci jej zostaje. ";;"Antoine de Saint-Exupéry";"2020-08-28 09:25:39";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
40;"Prawdziwa miłość nie wyczerpuje się nigdy. Im więcej dajesz, tym więcej ci jej zostaje. ";;"Antoine de Saint-Exupéry";"2020-08-28 09:25:39";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
40;"Prawdziwa miłość nie wyczerpuje się nigdy. Im więcej dajesz, tym więcej ci jej zostaje. ";;"Antoine de Saint-Exupéry";"2020-08-28 09:25:39";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
41;"Mowa jest źródłem nieporozumień. ";;"Antoine de Saint-Exupéry";"2020-08-28 09:25:54";0;FILOZOFIA;;
42;"Dziewięć dziesiątych naszego szczęścia polega na zdrowiu. Zdrowy żebrak jest szczęśliwszy niż chory król. ";;"Arthur Schopenhauer";"2020-08-28 09:26:16";0;FILOZOFIA;;
43;"Najważniejszą rzeczą jest, aby cieszyć się swoim życiem – być szczęśliwym – tylko to się liczy. ";;"Audrey Hepburn";"2020-08-28 09:26:55";0;FILOZOFIA;;
44;"Sztuka życia polega mniej na eliminowaniu naszych problemów, a bardziej na rozwijaniu się dzięki nim. ";;"Bernard Baruch";"2020-08-28 09:27:07";0;PSYCHOLOGIA;;
45;"Kto walczy, może przegrać. Kto nie walczy, już przegrał. ";;"Bertold Brecht";"2020-08-28 09:27:29";0;FILOZOFIA;;
46;"Nigdy nie wiesz jak jesteś silny, dopóki bycie silnym nie jest jedynym wyjściem, jakie Ci zostaje. ";;"Bob Marley";"2020-08-28 09:27:50";0;PSYCHOLOGIA;;
47;"Wyjdź ze swojej strefy komfortu. Możesz wzrastać tylko, jeśli jesteś gotów czuć się dziwnie i niekomfortowo, próbując czegoś zupełnie dla Ciebie nowego. ";;"Brian Tracy";"2020-08-28 09:31:21";0;PSYCHOLOGIA;;
49;"Aby więcej zarabiać, musisz się więcej nauczyć. ";;"Brian Tracy";"2020-08-28 09:31:58";0;FILOZOFIA;;
50;"W konfrontacji strumienia ze skałą, strumień zawsze wygrywa – nie przez swoją siłę, ale przez wytrwałość. ";;Budda;"2020-08-28 09:32:08";0;FILOZOFIA;;
51;"Dorosłość prawdziwa oznacza radość i zrozumienie dla dziecka wewnątrz dorosłości";;"Revolwer AP";"2020-09-06 09:07:17";0;"TE CHOLERNE ŻYCIE";;
52;"Nie zdążysz być w pełni dorosłym, jeśli nie zdążyłeś być w pełni dzieckiem";;"Revolwer AP";"2020-09-06 09:10:53";0;"TE CHOLERNE ŻYCIE";;
53;"Zadaj sobie pytanie... Jaka jest Twoja pierwsza myśl po przebudzeniu? - a być może zrozumiesz sens swych porażek";;"Revolwer AP";"2020-09-06 09:11:54";0;"TE CHOLERNE ŻYCIE";;
54;"Cholerny nowy dzień nastał... Co się gapisz? Mówię, że nastał. Nie powiedziałem jak go przeżyć.";;"Revolwer AP";"2020-09-06 09:12:42";0;"TE CHOLERNE ŻYCIE";;
55;"Sądzisz że z natury jesteś wspaniały, niepowtarzalny, uwielbiany, mądry i wszechstronny... Sądzisz... Ja natomiast jestem pewna, że żyję. Reszta zależy od moich starań.";;"Revolwer AP";"2020-09-06 09:14:18";0;"TE CHOLERNE ŻYCIE";;
56;"Przyjacielu... Po co Ci piękno, miłość, emocje, marzenia, frustracje, sukcesy, tęsknoty, dążenia i pasje... Masz przecież Facebooka.";;"Revolwer AP";"2020-09-06 09:15:11";0;"TE CHOLERNE ŻYCIE";;
